latitude,longitude,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_max,month,day_of_year
37.74967,15.0316,1.3,83,0.0,8.3,1,1
37.74947,15.01269,-3.8,81,0.0,5.8,1,2
40.51817,17.20504,11.4,85,0.0,10.4,1,5
40.50107,17.20715,11.4,85,0.0,10.4,1,5
46.62,12.24,-7.0,87,0.0,9.7,1,4
37.7431,15.03664,2.1,91,0.0,5.4,1,5
40.51923,17.20845,10.1,92,0.0,9.0,1,3
40.54,15.26,3.8,84,0.0,5.7,1,6
41.93,7.1,15.0,77,0.0,37.7,1,5
37.74966,15.03176,1.3,83,0.0,8.3,1,1
37.75242,15.03125,0.1,93,2.1,5.8,1,6
42.16,14.28,9.9,89,0.0,5.7,1,1
40.12,6.75,15.3,83,3.3,24.0,1,4
47.33,18.53,6.4,96,0.0,15.5,1,2
42.35862,11.55977,11.3,91,0.6,18.2,1,5
45.51,17.13,8.2,84,0.0,10.1,1,6
38.86,13.24,15.7,75,0.0,11.5,1,5
37.21239,15.17073,12.8,75,0.0,16.2,1,8
37.75013,15.02473,-1.3,84,0.2,4.5,1,4
37.74812,15.0312,-0.6,91,1.2,7.2,1,8
39.09,10.78,16.3,87,0.0,20.6,1,1
39.08064,9.02115,13.3,82,0.0,9.2,1,5
45.93,15.64,11.4,82,0.0,16.8,1,1
44.32,15.87,7.5,96,1.0,8.9,1,3
40.50429,17.21766,11.4,88,0.0,10.8,1,5
42.51,16.02,14.5,77,0.0,25.9,1,5
40.50939,17.20854,11.4,85,0.0,10.4,1,5
38.80341,15.2063,13.7,76,0.0,8.3,1,3
42.36,15.13,13.4,82,0.0,41.4,1,8
37.21039,15.16813,11.8,83,0.0,8.9,1,4
40.50108,17.20408,11.2,84,0.0,12.3,1,7
40.50781,17.20975,11.0,87,0.0,6.9,1,1
40.50049,17.21438,11.6,85,0.0,7.6,1,2
37.75779,15.03132,-3.1,95,1.7,8.5,1,7
40.87,10.95,16.2,81,0.0,22.5,1,1
37.32,15.14,12.9,78,0.0,14.8,1,8
38.78,16.21,12.3,88,0.0,8.6,1,3
38.18,8.43,16.0,83,0.2,22.5,1,4
37.96406,16.05808,10.0,80,0.0,5.9,1,4
44.03,18.15,5.2,80,0.0,7.7,1,5
41.9,15.39,10.8,94,0.3,20.9,1,4
37.64,13.76,9.2,89,0.1,14.8,1,7
36.83,6.58,10.8,66,0.0,10.5,1,8
39.08174,9.01684,13.0,84,0.7,10.8,1,6
41.83,9.05,9.5,99,57.4,19.1,1,8
40.5028,17.20757,11.0,87,0.0,6.9,1,1
41.32016,15.08705,7.4,93,0.0,14.5,1,2
38.79514,15.21366,13.9,83,0.0,12.0,1,1
44.45,15.61,8.3,94,0.1,5.8,1,3
38.19,18.63,16.5,81,0.1,16.4,1,1
37.20932,15.16784,12.8,82,0.0,7.1,1,7
40.32,8.88,6.9,74,0.0,5.4,1,3
45.38,10.51,8.7,92,0.0,20.8,1,5
37.74937,14.99192,-5.6,84,0.2,4.5,1,4
41.3,17.81,14.5,90,0.0,14.8,1,2
40.51105,17.19446,11.9,81,0.0,13.0,1,4
42.29,7.36,14.7,68,0.1,18.1,1,6
40.50906,17.20889,11.9,81,0.0,13.0,1,4
