latitude;longitude;bright_ti4;scan;track;acq_date;acq_time;satellite;instrument;confidence;version;bright_ti5;frp;daynight;type
40.5028;17.20757;296.16;0.35;0.57;2023-01-01;134;N;VIIRS;n;2;280.12;1.22;N;2
40.5006;17.21562;302.3;0.35;0.57;2023-01-01;134;N;VIIRS;n;2;283.78;1.03;N;3
40.50781;17.20975;300.99;0.35;0.57;2023-01-01;134;N;VIIRS;n;2;279.27;0.82;N;3
40.50674;17.21377;299.03;0.35;0.57;2023-01-01;134;N;VIIRS;n;2;281.43;0.82;N;3
40.50781;17.20988;307.22;0.35;0.57;2023-01-01;134;N;VIIRS;n;2;279.99;1.79;N;3
38.90536;16.50627;302.36;0.36;0.57;2023-01-01;135;N;VIIRS;n;2;279.73;0.52;N;0
38.79174;15.21122;300.51;0.62;0.54;2023-01-01;135;N;VIIRS;n;2;279.53;1.79;N;1
38.79514;15.21366;302.77;0.62;0.54;2023-01-01;135;N;VIIRS;n;2;281.83;0.36;N;1
37.96349;16.06364;301.86;0.36;0.57;2023-01-01;135;N;VIIRS;n;2;281.63;0.73;N;0
37.95819;16.06235;320.98;0.36;0.57;2023-01-01;135;N;VIIRS;n;2;282.46;1.6;N;0
37.756;15.0156;330.14;0.32;0.55;2023-01-01;135;N;VIIRS;n;2;273.34;20.57;N;3
37.75122;15.03431;298.64;0.32;0.55;2023-01-01;135;N;VIIRS;n;2;274.21;8.34;N;1
37.21299;15.16982;296.62;0.34;0.56;2023-01-01;135;N;VIIRS;n;2;285.24;0.57;N;2
37.68225;15.14353;325.37;0.32;0.55;2023-01-01;1116;N;VIIRS;n;2;288.93;1.35;D;0
37.74966;15.03176;326.16;0.33;0.55;2023-01-01;1116;N;VIIRS;n;2;297.29;5.8;D;1
37.74898;15.02903;327.81;0.33;0.55;2023-01-01;1116;N;VIIRS;n;2;299.14;6.8;D;1
37.15759;13.8772;329.31;0.47;0.64;2023-01-01;1256;N;VIIRS;n;2;290.26;2.33;D;0
37.74967;15.0316;367;0.55;0.68;2023-01-01;1257;N;VIIRS;h;2;310.13;20.16;D;1
37.74898;15.00801;343.26;0.55;0.68;2023-01-01;1257;N;VIIRS;n;2;284.6;20.16;D;1
37.7558;15.02279;356.31;0.55;0.68;2023-01-01;1257;N;VIIRS;l;2;287.3;24.55;D;3
40.50177;17.20169;304.39;0.78;0.78;2023-01-01;2335;N;VIIRS;n;2;281.16;1.71;N;2
41.32016;15.08705;312.04;0.48;0.4;2023-01-02;115;N;VIIRS;n;2;277.53;2.17;N;0
40.62862;18.00053;300.22;0.45;0.47;2023-01-02;115;N;VIIRS;n;2;281.29;0.7;N;2
40.51171;17.20322;295;0.41;0.45;2023-01-02;115;N;VIIRS;n;2;279.68;0.84;N;0
40.50557;17.21117;322.96;0.41;0.45;2023-01-02;115;N;VIIRS;n;2;285.04;2.28;N;3
40.50893;17.17662;300.32;0.41;0.45;2023-01-02;115;N;VIIRS;n;2;280.06;0.36;N;2
40.50262;17.20488;314.77;0.41;0.45;2023-01-02;115;N;VIIRS;n;2;282.7;2.28;N;2
40.50049;17.21438;299.34;0.41;0.45;2023-01-02;115;N;VIIRS;n;2;284.02;1.82;N;3
40.4986;17.20335;300.99;0.41;0.45;2023-01-02;115;N;VIIRS;n;2;279.71;0.8;N;2
40.49163;17.19554;295.79;0.41;0.45;2023-01-02;115;N;VIIRS;n;2;283.81;1.02;N;2
38.79309;15.21373;319.9;0.54;0.42;2023-01-02;116;N;VIIRS;n;2;281.5;1.63;N;1
39.08134;9.02071;300.99;0.39;0.36;2023-01-02;116;N;VIIRS;n;2;289.77;0.99;N;2
37.74685;15.01595;330.05;0.56;0.43;2023-01-02;116;N;VIIRS;n;2;267.27;7.08;N;1
37.74861;15.00764;300.15;0.56;0.43;2023-01-02;116;N;VIIRS;n;2;270.34;5.26;N;1
37.75552;15.03281;367;0.57;0.69;2023-01-02;1057;N;VIIRS;h;2;310.39;108.13;D;3
37.74947;15.01269;341.55;0.57;0.69;2023-01-02;1057;N;VIIRS;n;2;294.68;66.22;D;1
40.62735;18.00241;295.43;0.43;0.38;2023-01-03;57;N;VIIRS;n;2;280.53;0.37;N;2
40.51923;17.20845;302.59;0.41;0.37;2023-01-03;57;N;VIIRS;n;2;283.38;0.82;N;2
40.51586;17.20743;297.25;0.41;0.37;2023-01-03;57;N;VIIRS;n;2;280.22;0.82;N;2
40.50826;17.21014;297.34;0.41;0.37;2023-01-03;57;N;VIIRS;n;2;281.28;1.25;N;3
40.5049;17.2091;316.24;0.41;0.37;2023-01-03;57;N;VIIRS;n;2;282.01;1.79;N;3
40.50319;17.21868;312.52;0.41;0.37;2023-01-03;57;N;VIIRS;n;2;284.8;1.56;N;3
40.50153;17.20807;301.93;0.41;0.37;2023-01-03;57;N;VIIRS;n;2;283.39;1.79;N;2
40.49313;17.1954;296.61;0.41;0.37;2023-01-03;57;N;VIIRS;n;2;284.73;0.97;N;2
38.80341;15.2063;308.7;0.39;0.36;2023-01-03;57;N;VIIRS;n;2;284.78;1.53;N;0
38.80081;15.20763;346.07;0.39;0.36;2023-01-03;57;N;VIIRS;n;2;315.73;26.35;N;0
38.80009;15.21189;300.27;0.39;0.36;2023-01-03;57;N;VIIRS;n;2;281.39;25.03;N;0
38.79753;15.20658;351.22;0.39;0.36;2023-01-03;57;N;VIIRS;n;2;293.82;26.35;N;1
38.79681;15.21082;367;0.39;0.36;2023-01-03;57;N;VIIRS;h;2;329.48;25.03;N;1
38.79824;15.20234;314.62;0.39;0.36;2023-01-03;57;N;VIIRS;n;2;281.93;26.35;N;1
38.79609;15.21517;305.15;0.39;0.36;2023-01-03;57;N;VIIRS;n;2;280.21;25.03;N;1
38.79353;15.20983;326.97;0.39;0.36;2023-01-03;57;N;VIIRS;n;2;293.69;25.41;N;1
38.79281;15.21417;300.03;0.39;0.36;2023-01-03;57;N;VIIRS;n;2;278.61;25.41;N;1
38.20454;15.26492;297.8;0.39;0.36;2023-01-03;57;N;VIIRS;n;2;286.96;1.48;N;2
37.7491;14.99047;296.06;0.39;0.36;2023-01-03;58;N;VIIRS;n;2;269.11;0.9;N;1
37.75771;15.02092;304.4;0.39;0.36;2023-01-03;58;N;VIIRS;n;2;266.39;1.22;N;3
37.75694;15.02549;309.73;0.39;0.36;2023-01-03;58;N;VIIRS;n;2;268.71;1.22;N;3
