date,latitude,longitude,fire_occurred
2023-09-01,44.9,16.67,0
2023-02-17,41.05,18.56,0
2024-09-12,45.87,8.19,0
2023-08-04,44.02,9.51,0
2023-07-16,37.08,17.32,0
2023-09-09,47.22,17.02,0
2024-08-29,44.75,15.17,0
2023-10-10,45.04,7.33,0
2023-09-02,37.47,15.04,0
2023-03-25,41.18,12.0,0
2023-02-14,40.26,10.75,0
2023-04-17,46.66,9.21,0
2023-07-07,43.4,10.07,0
2024-09-07,45.46,12.86,0
2024-10-11,41.1,8.07,0
2023-09-13,38.61,12.52,0
2023-09-23,42.38,6.62,0
2024-05-26,36.73,11.26,0
2023-07-17,45.52,18.29,0
2024-04-14,43.26,15.46,0
2024-01-27,44.72,6.88,0
2023-09-22,40.08,14.8,0
2023-09-19,47.16,8.51,0
2023-04-26,46.27,12.07,0
2023-01-10,44.95,9.77,0
2023-09-22,38.24,17.96,0
2024-08-15,41.37,6.7,0
2023-03-28,36.5,17.28,0
2023-03-10,37.77,14.98,0
2024-07-08,43.86,10.64,0
2023-08-06,44.56,17.26,0
2023-05-30,47.13,11.2,0
2023-06-13,39.75,14.94,0
2024-06-29,40.26,16.08,0
2023-08-25,41.4,9.67,0
2023-10-09,38.18,6.92,0
2023-07-31,37.49,17.11,0
2023-07-25,41.47,8.96,0
2023-07-24,38.61,17.93,0
2023-08-03,43.7,10.03,0
2023-10-31,41.03,11.31,0
2023-04-24,45.58,11.51,0
2023-10-21,44.05,11.99,0
2023-09-11,39.59,18.32,0
2023-08-26,45.57,9.14,0
2024-08-16,45.25,13.79,0
2024-03-17,40.46,9.76,0
2023-03-23,39.32,7.68,0
2023-06-16,43.85,9.7,0
2023-10-31,37.61,13.07,0
2023-09-23,38.3,13.77,0
2023-02-23,36.08,9.38,0
2023-08-07,45.05,18.64,0
2023-08-20,43.65,10.64,0
2023-07-25,44.11,16.65,0
2023-07-19,44.98,6.45,0
2023-07-11,41.28,14.9,0
2023-01-08,42.54,9.88,0
2024-08-28,37.61,12.87,0
2024-03-19,37.32,16.71,0
2024-08-03,43.69,15.28,0
2024-07-22,41.42,10.6,0
2023-08-06,42.5,15.38,0
2024-06-08,44.8,11.3,0
2024-12-13,43.3,6.81,0
2024-02-05,42.37,14.52,0
2023-02-23,42.43,17.99,0
