date,latitude,longitude,fire_occurred,acq_time,acq_timestamp,frp,confidence,daynight,type,source_file
2023-01-01,40.5028,17.20757,1,134,2023-01-01 01:34:00,1.22,n,N,2,italy_viirs_snpp_2023.csv
2023-01-01,40.5006,17.21562,1,134,2023-01-01 01:34:00,1.03,n,N,3,italy_viirs_snpp_2023.csv
2023-01-01,40.50781,17.20975,1,134,2023-01-01 01:34:00,0.82,n,N,3,italy_viirs_snpp_2023.csv
2023-01-01,40.50674,17.21377,1,134,2023-01-01 01:34:00,0.82,n,N,3,italy_viirs_snpp_2023.csv
2023-01-01,40.50781,17.20988,1,134,2023-01-01 01:34:00,1.79,n,N,3,italy_viirs_snpp_2023.csv
2023-01-01,38.90536,16.50627,1,135,2023-01-01 01:35:00,0.52,n,N,0,italy_viirs_snpp_2023.csv
2023-01-01,38.79174,15.21122,1,135,2023-01-01 01:35:00,1.79,n,N,1,italy_viirs_snpp_2023.csv
2023-01-01,38.79514,15.21366,1,135,2023-01-01 01:35:00,0.36,n,N,1,italy_viirs_snpp_2023.csv
2023-01-01,37.96349,16.06364,1,135,2023-01-01 01:35:00,0.73,n,N,0,italy_viirs_snpp_2023.csv
2023-01-01,37.95819,16.06235,1,135,2023-01-01 01:35:00,1.6,n,N,0,italy_viirs_snpp_2023.csv
2023-01-01,37.756,15.0156,1,135,2023-01-01 01:35:00,20.57,n,N,3,italy_viirs_snpp_2023.csv
2023-01-01,37.75122,15.03431,1,135,2023-01-01 01:35:00,8.34,n,N,1,italy_viirs_snpp_2023.csv
2023-01-01,37.21299,15.16982,1,135,2023-01-01 01:35:00,0.57,n,N,2,italy_viirs_snpp_2023.csv
2023-01-01,37.68225,15.14353,1,1116,2023-01-01 11:16:00,1.35,n,D,0,italy_viirs_snpp_2023.csv
2023-01-01,37.74966,15.03176,1,1116,2023-01-01 11:16:00,5.8,n,D,1,italy_viirs_snpp_2023.csv
2023-01-01,37.74898,15.02903,1,1116,2023-01-01 11:16:00,6.8,n,D,1,italy_viirs_snpp_2023.csv
2023-01-01,37.15759,13.8772,1,1256,2023-01-01 12:56:00,2.33,n,D,0,italy_viirs_snpp_2023.csv
2023-01-01,37.74967,15.0316,1,1257,2023-01-01 12:57:00,20.16,h,D,1,italy_viirs_snpp_2023.csv
2023-01-01,37.74898,15.00801,1,1257,2023-01-01 12:57:00,20.16,n,D,1,italy_viirs_snpp_2023.csv
2023-01-01,37.7558,15.02279,1,1257,2023-01-01 12:57:00,24.55,l,D,3,italy_viirs_snpp_2023.csv
2023-01-01,40.50177,17.20169,1,2335,2023-01-01 23:35:00,1.71,n,N,2,italy_viirs_snpp_2023.csv
2023-01-02,41.32016,15.08705,1,115,2023-01-02 01:15:00,2.17,n,N,0,italy_viirs_snpp_2023.csv
2023-01-02,40.62862,18.00053,1,115,2023-01-02 01:15:00,0.7,n,N,2,italy_viirs_snpp_2023.csv
2023-01-02,40.51171,17.20322,1,115,2023-01-02 01:15:00,0.84,n,N,0,italy_viirs_snpp_2023.csv
2023-01-02,40.50557,17.21117,1,115,2023-01-02 01:15:00,2.28,n,N,3,italy_viirs_snpp_2023.csv
2023-01-02,40.50893,17.17662,1,115,2023-01-02 01:15:00,0.36,n,N,2,italy_viirs_snpp_2023.csv
2023-01-02,40.50262,17.20488,1,115,2023-01-02 01:15:00,2.28,n,N,2,italy_viirs_snpp_2023.csv
2023-01-02,40.50049,17.21438,1,115,2023-01-02 01:15:00,1.82,n,N,3,italy_viirs_snpp_2023.csv
2023-01-02,40.4986,17.20335,1,115,2023-01-02 01:15:00,0.8,n,N,2,italy_viirs_snpp_2023.csv
2023-01-02,40.49163,17.19554,1,115,2023-01-02 01:15:00,1.02,n,N,2,italy_viirs_snpp_2023.csv
2023-01-02,38.79309,15.21373,1,116,2023-01-02 01:16:00,1.63,n,N,1,italy_viirs_snpp_2023.csv
2023-01-02,39.08134,9.02071,1,116,2023-01-02 01:16:00,0.99,n,N,2,italy_viirs_snpp_2023.csv
2023-01-02,37.74685,15.01595,1,116,2023-01-02 01:16:00,7.08,n,N,1,italy_viirs_snpp_2023.csv
2023-01-02,37.74861,15.00764,1,116,2023-01-02 01:16:00,5.26,n,N,1,italy_viirs_snpp_2023.csv
2023-01-02,37.75552,15.03281,1,1057,2023-01-02 10:57:00,108.13,h,D,3,italy_viirs_snpp_2023.csv
2023-01-02,37.74947,15.01269,1,1057,2023-01-02 10:57:00,66.22,n,D,1,italy_viirs_snpp_2023.csv
2023-01-03,40.62735,18.00241,1,57,2023-01-03 00:57:00,0.37,n,N,2,italy_viirs_snpp_2023.csv
2023-01-03,40.51923,17.20845,1,57,2023-01-03 00:57:00,0.82,n,N,2,italy_viirs_snpp_2023.csv
2023-01-03,40.51586,17.20743,1,57,2023-01-03 00:57:00,0.82,n,N,2,italy_viirs_snpp_2023.csv
2023-01-03,40.50826,17.21014,1,57,2023-01-03 00:57:00,1.25,n,N,3,italy_viirs_snpp_2023.csv
2023-01-03,40.5049,17.2091,1,57,2023-01-03 00:57:00,1.79,n,N,3,italy_viirs_snpp_2023.csv
2023-01-03,40.50319,17.21868,1,57,2023-01-03 00:57:00,1.56,n,N,3,italy_viirs_snpp_2023.csv
2023-01-03,40.50153,17.20807,1,57,2023-01-03 00:57:00,1.79,n,N,2,italy_viirs_snpp_2023.csv
2023-01-03,40.49313,17.1954,1,57,2023-01-03 00:57:00,0.97,n,N,2,italy_viirs_snpp_2023.csv
2023-01-03,38.80341,15.2063,1,57,2023-01-03 00:57:00,1.53,n,N,0,italy_viirs_snpp_2023.csv
2023-01-03,38.80081,15.20763,1,57,2023-01-03 00:57:00,26.35,n,N,0,italy_viirs_snpp_2023.csv
2023-01-03,38.80009,15.21189,1,57,2023-01-03 00:57:00,25.03,n,N,0,italy_viirs_snpp_2023.csv
2023-01-03,38.79753,15.20658,1,57,2023-01-03 00:57:00,26.35,n,N,1,italy_viirs_snpp_2023.csv
2023-01-03,38.79681,15.21082,1,57,2023-01-03 00:57:00,25.03,h,N,1,italy_viirs_snpp_2023.csv
2023-01-03,38.79824,15.20234,1,57,2023-01-03 00:57:00,26.35,n,N,1,italy_viirs_snpp_2023.csv
2023-01-03,38.79609,15.21517,1,57,2023-01-03 00:57:00,25.03,n,N,1,italy_viirs_snpp_2023.csv
2023-01-03,38.79353,15.20983,1,57,2023-01-03 00:57:00,25.41,n,N,1,italy_viirs_snpp_2023.csv
2023-01-03,38.79281,15.21417,1,57,2023-01-03 00:57:00,25.41,n,N,1,italy_viirs_snpp_2023.csv
2023-01-03,38.20454,15.26492,1,57,2023-01-03 00:57:00,1.48,n,N,2,italy_viirs_snpp_2023.csv
2023-01-03,37.7491,14.99047,1,58,2023-01-03 00:58:00,0.9,n,N,1,italy_viirs_snpp_2023.csv
2023-01-03,37.75771,15.02092,1,58,2023-01-03 00:58:00,1.22,n,N,3,italy_viirs_snpp_2023.csv
2023-01-03,37.75694,15.02549,1,58,2023-01-03 00:58:00,1.22,n,N,3,italy_viirs_snpp_2023.csv
2023-01-03,37.75241,14.99127,1,58,2023-01-03 00:58:00,0.9,n,N,1,italy_viirs_snpp_2023.csv
2023-01-03,37.74781,15.01838,1,58,2023-01-03 00:58:00,4.94,n,N,3,italy_viirs_snpp_2023.csv
2023-01-03,37.74686,15.00374,1,58,2023-01-03 00:58:00,1.71,n,N,1,italy_viirs_snpp_2023.csv
2023-01-03,37.21101,15.16919,1,58,2023-01-03 00:58:00,1.5,n,N,2,italy_viirs_snpp_2023.csv
2023-01-03,37.12177,15.21684,1,58,2023-01-03 00:58:00,1.3,n,N,2,italy_viirs_snpp_2023.csv
2023-01-03,37.95679,14.60815,1,1219,2023-01-03 12:19:00,5.57,n,D,0,italy_viirs_snpp_2023.csv
2023-01-03,38.01038,15.06688,1,1219,2023-01-03 12:19:00,3.96,n,D,0,italy_viirs_snpp_2023.csv
2023-01-03,37.95644,14.61004,1,1219,2023-01-03 12:19:00,3.22,n,D,0,italy_viirs_snpp_2023.csv
2023-01-04,41.22328,16.27019,1,38,2023-01-04 00:38:00,0.5,n,N,0,italy_viirs_snpp_2023.csv
2023-01-04,40.51105,17.19446,1,38,2023-01-04 00:38:00,1.69,n,N,0,italy_viirs_snpp_2023.csv
2023-01-04,40.50906,17.20889,1,38,2023-01-04 00:38:00,1.58,n,N,2,italy_viirs_snpp_2023.csv
2023-01-04,40.5084,17.2137,1,38,2023-01-04 00:38:00,1.63,n,N,3,italy_viirs_snpp_2023.csv
2023-01-04,40.50566,17.20809,1,38,2023-01-04 00:38:00,1.58,n,N,2,italy_viirs_snpp_2023.csv
2023-01-04,40.505,17.21289,1,38,2023-01-04 00:38:00,1.63,n,N,3,italy_viirs_snpp_2023.csv
2023-01-04,40.50227,17.20729,1,38,2023-01-04 00:38:00,1.71,n,N,2,italy_viirs_snpp_2023.csv
2023-01-04,40.50094,17.21689,1,38,2023-01-04 00:38:00,1.02,n,N,3,italy_viirs_snpp_2023.csv
2023-01-04,40.49339,17.19526,1,38,2023-01-04 00:38:00,0.55,n,N,2,italy_viirs_snpp_2023.csv
2023-01-04,38.79829,15.20809,1,38,2023-01-04 00:38:00,1.46,n,N,1,italy_viirs_snpp_2023.csv
2023-01-04,38.79464,15.20804,1,38,2023-01-04 00:38:00,11.1,n,N,1,italy_viirs_snpp_2023.csv
2023-01-04,38.79392,15.21389,1,38,2023-01-04 00:38:00,11.1,n,N,1,italy_viirs_snpp_2023.csv
2023-01-04,39.08124,9.01826,1,39,2023-01-04 00:39:00,2.04,n,N,2,italy_viirs_snpp_2023.csv
2023-01-04,37.89315,15.24109,1,39,2023-01-04 00:39:00,1.06,n,N,0,italy_viirs_snpp_2023.csv
2023-01-04,37.75186,15.02975,1,39,2023-01-04 00:39:00,5.31,n,N,1,italy_viirs_snpp_2023.csv
2023-01-04,37.74944,15.02013,1,39,2023-01-04 00:39:00,9.09,n,N,1,italy_viirs_snpp_2023.csv
