latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
45.556,9.57655,297.66,0.45,0.47,2024-01-01,0048,N,VIIRS,n,2,275.83,0.67,N,0
45.55563,9.57643,299.07,0.45,0.47,2024-01-01,0049,N,VIIRS,n,2,275.59,0.53,N,0
37.81675,15.24904,295.42,0.38,0.36,2024-01-01,0050,N,VIIRS,n,2,281.3,0.41,N,0
37.87737,14.94446,295.24,0.39,0.36,2024-01-01,0050,N,VIIRS,n,2,276.2,0.47,N,0
39.07934,9.01698,295.77,0.41,0.45,2024-01-01,0050,N,VIIRS,n,2,279.68,1.25,N,2
38.20499,15.26741,299.53,0.38,0.36,2024-01-01,0050,N,VIIRS,n,2,288.67,0.7,N,2
38.20169,15.2666,295.09,0.38,0.36,2024-01-01,0050,N,VIIRS,n,2,284.81,0.7,N,2
38.16506,15.50176,301.52,0.38,0.36,2024-01-01,0050,N,VIIRS,n,2,280.59,0.56,N,0
37.7467,15.00165,299.44,0.38,0.36,2024-01-01,0050,N,VIIRS,n,2,279.35,0.87,N,1
37.74803,14.99305,316.34,0.38,0.36,2024-01-01,0050,N,VIIRS,n,2,268.84,1,N,1
40.50679,17.21199,311.2,0.39,0.36,2024-01-01,0050,N,VIIRS,n,2,269.7,1.58,N,3
40.31456,15.89524,299.16,0.38,0.36,2024-01-01,0050,N,VIIRS,n,2,268.55,1.16,N,2
38.84133,16.606,296.75,0.39,0.36,2024-01-01,0050,N,VIIRS,n,2,280.15,0.47,N,0
38.79355,15.21059,330.68,0.39,0.36,2024-01-01,0050,N,VIIRS,n,2,284.52,4.63,N,1
39.27211,9.09646,320.55,0.41,0.45,2024-01-01,0050,N,VIIRS,n,2,274.26,2.23,N,0
37.75131,14.99388,307.24,0.38,0.36,2024-01-01,0050,N,VIIRS,n,2,270.74,1,N,1
37.81345,15.24823,327.9,0.38,0.36,2024-01-01,0050,N,VIIRS,n,2,285.98,8.79,N,0
37.32735,15.08031,309.32,0.38,0.36,2024-01-01,0051,N,VIIRS,n,2,281.12,0.51,N,0
37.44207,15.08372,305.68,0.38,0.36,2024-01-01,0051,N,VIIRS,n,2,281.29,0.78,N,0
37.32406,15.0795,295.6,0.38,0.36,2024-01-01,0051,N,VIIRS,n,2,281,0.28,N,0
37.21133,15.16997,305.87,0.38,0.36,2024-01-01,0051,N,VIIRS,n,2,288.32,1.03,N,2
38.00592,14.84912,328.87,0.44,0.38,2024-01-01,1212,N,VIIRS,n,2,285.89,5.54,D,0
40.50373,17.2159,335.79,0.39,0.44,2024-01-01,1212,N,VIIRS,n,2,283.71,3.89,D,3
39.08007,9.0174,303.45,0.36,0.58,2024-01-02,0031,N,VIIRS,n,2,287.14,1.51,N,2
39.08152,9.01875,297.67,0.45,0.63,2024-01-02,0212,N,VIIRS,n,2,284.38,1.58,N,2
36.85746,14.96381,329.52,0.4,0.37,2024-01-02,1153,N,VIIRS,n,2,289.64,1.73,D,0
37.43526,14.71535,341.27,0.4,0.37,2024-01-02,1153,N,VIIRS,n,2,296.36,10.99,D,0
37.78484,14.72737,329.52,0.4,0.37,2024-01-02,1153,N,VIIRS,n,2,289.99,1.57,D,0
37.98254,15.22796,334.99,0.39,0.36,2024-01-02,1153,N,VIIRS,n,2,284.82,3.89,D,0
40.50746,17.21185,330.07,0.4,0.37,2024-01-02,1153,N,VIIRS,n,2,290.15,2.51,D,3
40.66878,16.28803,329.64,0.39,0.36,2024-01-02,1154,N,VIIRS,n,2,292.37,4.93,D,0
41.15559,16.37431,328.43,0.39,0.36,2024-01-02,1154,N,VIIRS,n,2,288.02,4.4,D,0
37.92993,13.97613,295.28,0.35,0.56,2024-01-03,0013,N,VIIRS,n,2,269.22,0.78,N,0
37.38963,13.52612,299.46,0.36,0.57,2024-01-03,0013,N,VIIRS,n,2,272.12,0.79,N,0
37.38934,13.52646,296.06,0.49,0.65,2024-01-03,0153,N,VIIRS,n,2,275.01,0.66,N,0
37.90358,14.20565,356.01,0.41,0.45,2024-01-03,1134,N,VIIRS,n,2,282.2,8.97,D,0
40.658,16.08806,329.27,0.45,0.39,2024-01-03,1135,N,VIIRS,n,2,282.83,3.07,D,0
42.06689,14.45801,328.39,0.5,0.41,2024-01-03,1135,N,VIIRS,n,2,287.92,2.75,D,0
42.06846,14.46268,328.39,0.5,0.41,2024-01-03,1135,N,VIIRS,n,2,288.85,4.96,D,0
41.01727,9.29307,326.34,0.6,0.53,2024-01-03,1135,N,VIIRS,n,2,286.1,2.57,D,0
42.69064,13.94872,340.79,0.51,0.41,2024-01-03,1135,N,VIIRS,n,2,290.2,8.29,D,0
44.21046,11.68585,337.74,0.39,0.44,2024-01-03,1136,N,VIIRS,n,2,284.96,3.14,D,0
45.68303,9.46408,296.86,0.41,0.37,2024-01-04,0132,N,VIIRS,n,2,277.04,0.74,N,2
37.02747,14.56827,302.57,0.32,0.54,2024-01-04,0135,N,VIIRS,n,2,278.53,0.55,N,0
40.50243,17.21881,335.91,0.43,0.46,2024-01-04,1116,N,VIIRS,n,2,292.34,3.39,D,3
42.81949,11.60688,326.25,0.35,0.57,2024-01-04,1117,N,VIIRS,n,2,285.1,1.17,D,0
41.0211,16.04907,348.1,0.65,0.73,2024-01-04,1257,N,VIIRS,n,2,291.34,10.06,D,0
40.50459,17.20771,297.03,0.77,0.77,2024-01-04,2334,N,VIIRS,n,2,265.35,2.83,N,2
39.07849,9.01836,295.18,0.38,0.36,2024-01-05,0116,N,VIIRS,n,2,285.04,0.89,N,2
39.08178,9.01919,302.39,0.38,0.36,2024-01-05,0116,N,VIIRS,n,2,286.26,0.89,N,2
39.90952,16.46875,297.81,0.4,0.37,2024-01-06,0056,N,VIIRS,n,2,278.38,0.42,N,0
40.62739,17.99875,306.02,0.39,0.36,2024-01-07,0037,N,VIIRS,n,2,281.11,1.08,N,2
37.21184,15.16979,300.08,0.44,0.38,2024-01-07,0038,N,VIIRS,n,2,285.83,0.81,N,2
38.27889,15.87799,338.36,0.39,0.36,2024-01-07,1159,N,VIIRS,n,2,283.67,4.32,D,0
37.89638,15.26344,340.45,0.39,0.36,2024-01-07,1159,N,VIIRS,n,2,289.72,5.3,D,0
37.21054,15.16828,297.41,0.48,0.48,2024-01-08,0019,N,VIIRS,n,2,283.11,0.99,N,2
40.955,17.16904,330.18,0.39,0.36,2024-01-08,1141,N,VIIRS,n,2,282.12,2.7,D,0
37.12266,15.21577,295.42,0.43,0.62,2024-01-09,0000,N,VIIRS,n,2,282.79,0.8,N,0
37.21241,15.1674,296.51,0.44,0.62,2024-01-09,0000,N,VIIRS,n,2,282.45,0.97,N,2
46.22762,13.07311,305.23,0.39,0.44,2024-01-09,0138,N,VIIRS,n,2,272.22,0.89,N,2
39.08221,9.0187,295.39,0.55,0.42,2024-01-09,0141,N,VIIRS,n,2,283.44,1.79,N,2
45.37991,11.94913,303.9,0.4,0.37,2024-01-10,0120,N,VIIRS,n,2,274.03,1.47,N,2
45.14418,9.94406,327.11,0.38,0.36,2024-01-10,0120,N,VIIRS,n,2,270.79,2.73,N,2
40.59772,8.78457,306.75,0.38,0.36,2024-01-10,0121,N,VIIRS,n,2,269.49,1.32,N,0
40.62571,18.00089,300.31,0.54,0.51,2024-01-10,0121,N,VIIRS,n,2,277.99,0.99,N,0
37.21236,15.1698,297.45,0.46,0.47,2024-01-10,0122,N,VIIRS,n,2,284.1,0.87,N,2
45.14539,9.94483,327.54,0.48,0.4,2024-01-11,0101,N,VIIRS,n,2,273.42,4.85,N,2
45.48084,10.21137,332.94,0.47,0.4,2024-01-11,0101,N,VIIRS,n,2,270.07,5.95,N,2
45.4772,10.21051,337.71,0.47,0.4,2024-01-11,0101,N,VIIRS,n,2,269.83,7.34,N,2
45.47795,10.2102,333.21,0.47,0.4,2024-01-11,0101,N,VIIRS,n,2,271.42,10.9,N,2
45.38129,11.94582,321.21,0.42,0.37,2024-01-11,0101,N,VIIRS,n,2,272.77,2.38,N,2
45.42842,11.00165,297.82,0.44,0.38,2024-01-11,0101,N,VIIRS,n,2,271.88,0.61,N,2
42.57092,12.67475,295.3,0.39,0.36,2024-01-11,0102,N,VIIRS,n,2,266.3,0.45,N,2
45.46198,10.45516,338.24,0.47,0.4,2024-01-11,1227,N,VIIRS,n,2,281.34,8.02,D,2
45.14428,9.94172,329.98,0.45,0.39,2024-01-11,1227,N,VIIRS,n,2,282.18,2.89,D,2
45.14409,9.94098,314.17,0.51,0.49,2024-01-12,0042,N,VIIRS,n,2,273.5,2.86,N,2
45.45892,10.45843,299.24,0.48,0.48,2024-01-12,0042,N,VIIRS,n,2,271.88,2.32,N,2
